City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,50,35,48,0.9,12,57,83,8
阿克苏地区,126,47,200,0.8,69,31,89,8
阿拉善盟,49,20,45,0.57,15,80,97,13
阿勒泰地区,27,11,10,0.3,26,47,53,2
阿里地区,39,14,0,0.6,12,69,77,8
安康,67,26,81,0.7,44,37,67,11
安庆,48,23,45,0.52,24,78,95,6
鞍山,70,39,88,0.93,47,31,64,18
安顺,43,30,36,0.8,21,43,57,21
安阳,78,54,103,0.78,64,36,76,14
白城,51,25,50,0.55,24,63,85,14
百色,58,39,63,1.25,39,9,33,10
白山,49,28,48,0.95,18,56,76,14
白银,47,28,29,0.4,18,80,92,94
保定,54,21,56,0.42,35,52,80,5
宝鸡,69,38,85,0.91,59,33,77,7
保山,70,47,76,0.7,9,126,122,6
包头,39,15,37,1.0,43,45,77,25
巴彦淖尔,60,27,68,0.87,40,33,68,19
巴中,71,42,90,0.78,58,20,65,6
北海,99,74,90,1.08,18,45,61,6
北京,76,6,100,0.21,10,72,77,1
蚌埠,104,77,141,0.8,74,45,92,24
本溪,65,26,78,0.82,40,33,69,17
毕节,33,23,31,0.45,13,63,62,6
滨州,58,30,63,1.1,53,44,79,20
博州,47,30,46,0.55,17,61,60,6
亳州,60,30,67,0.4,37,61,89,4
沧州,64,35,75,0.77,70,22,73,16
长春,59,37,66,0.8,63,25,61,10
常德,64,44,64,0.94,50,70,115,9
昌都,53,19,54,1.2,52,15,61,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,63,44,55,0.9,27,46,51,4
长沙,66,47,72,0.84,69,47,88,6
常熟,77,56,94,0.55,49,59,81,14
长治,55,19,57,0.76,36,63,89,23
常州,80,58,87,0.82,49,39,60,11
朝阳,48,22,47,0.85,30,51,72,28
潮州,40,14,20,0.73,9,77,78,7
承德,47,18,46,0.36,15,76,71,5
成都,66,40,80,0.73,63,31,51,8
郴州,70,50,79,0.98,32,26,43,7
赤峰,38,9,29,0.28,13,67,75,10
池州,48,27,39,0.7,52,64,94,7
重庆,58,40,64,0.85,46,13,19,6
崇左,58,36,64,0.9,14,56,56,3
楚雄州,61,43,60,0.9,15,100,110,10
滁州,82,60,99,0.65,29,107,108,12
大连,66,32,79,0.89,60,23,50,17
大理州,59,30,63,0.65,10,114,109,4
丹东,86,63,85,1.53,41,21,54,13
大庆,43,29,42,0.5,15,58,69,5
大同,42,5,23,0.65,11,72,82,15
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,49,30,48,0.45,16,79,92,24
达州,107,73,161,1.27,85,24,73,8
德宏州,96,71,128,1.3,49,45,101,7
德阳,74,42,96,0.6,72,16,82,5
德州,66,38,80,0.77,43,52,81,9
定西,84,46,115,1.35,80,10,77,30
迪庆州,47,23,33,0.6,7,91,93,5
东莞,45,31,0,0.76,33,41,38,7
东营,44,15,43,0.35,46,45,77,13
鄂尔多斯,45,9,40,0.48,15,76,89,7
恩施州,62,24,71,0.7,26,48,71,3
鄂州,72,45,91,0.53,28,90,102,7
防城港,80,58,68,1.03,15,63,56,4
佛山,49,34,47,0.93,41,35,45,6
抚顺,76,55,80,0.9,56,27,65,18
阜新,99,74,127,0.92,58,16,63,65
阜阳,92,58,132,0.53,66,47,75,5
富阳,47,27,46,0.7,15,27,34,2
福州,46,8,13,0.35,15,94,91,3
抚州,54,35,56,0.76,16,42,71,5
