City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
林芝地区,18,4,16,0.35,6,51,35,3
阿勒泰地区,27,11,10,0.3,26,47,53,2
揭阳,27,18,26,0.9,28,42,53,6
日喀则地区,29,6,27,0.35,2,68,56,5
舟山,29,15,28,0.47,37,30,55,4
昌都地区,29,6,12,0.7,11,86,57,8
三沙,30,7,20,0.3,30,51,58,6
黔南州,30,21,0,0.3,13,44,54,19
遵义,32,22,30,0.62,33,27,35,12
河池,33,19,32,0.77,24,45,65,7
江门,33,23,26,0.83,49,26,29,6
毕节,33,23,31,0.45,13,63,62,6
宁波,33,20,32,0.76,47,34,61,6
茂名,33,23,31,0.75,15,57,65,3
广州,33,23,29,0.76,36,42,52,4
丽水,34,13,20,0.53,16,57,66,5
辽源,34,17,33,0.8,25,39,67,10
惠州,34,22,27,0.62,15,64,67,5
伊春,35,12,29,0.4,14,53,68,5
梅州,35,24,0,0.77,23,46,66,5
雅安,35,21,34,0.48,32,28,42,7
温州,35,20,34,0.48,30,60,64,6
那曲地区,36,19,30,0.63,7,62,70,4
景德镇,36,23,35,0.5,15,50,70,11
玉树州,37,3,17,0.4,10,67,72,11
锡林郭勒盟,37,11,15,0.1,4,69,72,7
黔东南州,37,13,20,0.6,26,65,73,52
鹤岗,37,25,31,0.55,9,66,73,9
三亚,38,26,30,0.65,17,36,53,1
昭通,38,15,37,0.7,16,66,62,4
甘孜州,38,8,18,0.55,9,74,74,19
赤峰,38,9,29,0.28,13,67,75,10
金华,39,27,37,0.47,30,43,62,5
上海,39,27,31,0.63,55,51,73,5
黄山,39,19,32,0.43,19,40,77,8
包头,39,15,37,1.0,43,45,77,25
阿里地区,39,14,0,0.6,12,69,77,8
海口,40,28,36,0.76,9,93,78,4
潮州,40,14,20,0.73,9,77,78,7
山南地区,40,5,21,0.45,6,65,79,4
呼伦贝尔,40,23,37,0.35,14,66,78,2
张家界,40,22,38,0.78,20,49,79,3
义乌,40,20,39,0.6,56,22,57,5
汕尾,41,10,12,0.63,9,76,81,7
延边州,41,18,31,0.57,17,64,80,10
拉萨,41,19,26,0.64,45,50,81,3
宁德,41,11,17,0.6,11,77,81,4
大同,42,5,23,0.65,11,72,82,15
黑河,42,19,36,0.5,8,76,83,8
台州,42,12,28,0.47,17,67,82,3
